pin,address,housenumber,streetname,city,state,zip,units_res,land_class,building_class,owner_id,lat,lng
24013170020000,,,,,,60805,,234,234,,41.72419476186363,-87.69911240608593
24023130120000,,,,,,60805,,205,205,,41.72520833342939,-87.71259823348434
24024260090000,,,,,,60805,,204,204,,41.72179929451807,-87.70883997728288
24032090120000,,,,,,60456,,210,210,,41.72779513654559,-87.7290529319933
24041110510000,,,,,,60453,,203,203,,41.72830089937427,-87.75240312725786
24041180230000,,,,,,60453,,202,202,,41.727368909689964,-87.75570996085337
24042190020000,,,,,,60453,,205,205,,41.73405061070323,-87.74696032506391
24042200070000,,,,,,60453,,203,203,,41.73167361524399,-87.74687910449809
24042220040000,,,,,,60453,,203,203,,41.72850713381557,-87.74677122142828
13052120280000,,,,,,60646,,203,203,,41.990833432063944,-87.77701392336252
24043010050000,,,,,,60453,,203,203,,41.72665411793115,-87.75896581099717
24043030230000,,,,,,60453,,205,205,,41.725429525218715,-87.75649382863656
22302070450000,,,,,,60439,,204,204,,41.66384712436016,-88.01146554138573
22343030040000,,,,,,60439,,278,278,,41.64600742816987,-87.96311572906863
22354010070000,,,,,,60439,,EX,EX,,41.64891900972803,-87.93324647159933
23011080250000,,,,,,60457,,234,234,,41.72625616987368,-87.8155161284049
23024010080000,,,,,,60457,,517,517,,41.723586135696685,-87.81860599518093
23034030180000,,,,,,60457,,203,203,,41.72102370010426,-87.84075809570693
21301080360000,,,,,,60649,,990,990,,41.76465189087211,-87.56054336762858
23034150020000,,,,,,60457,,234,234,,41.7215229446612,-87.84660332946369
23034150110000,,,,,,60457,,234,234,,41.721472180049886,-87.84450430026729
23061040070000,,,,,,60480,,278,278,,41.72609346839388,-87.91026162585838
23062010010000,,,,,,,,EX,EX,,41.72599615518444,-87.89742874934521
23063030250000,,,,,,60480,,278,278,,41.721012770712264,-87.91190586242857
23104060050000,,,,,,60465,,203,203,,41.70606853197178,-87.83770074335283
23112030060000,,,,,,60465,,234,234,,41.713996582334595,-87.82208082095744
23114170310000,,,,,,60465,,234,234,,41.710692570677644,-87.82369427846601
23123040360000,,,,,,60465,,278,278,,41.709229987189545,-87.81605781724538
23123070250000,,,,,,60465,,234,234,,41.706334642927544,-87.81604839529933
23133010390000,,,,,,60465,,212,212,,41.69104541164141,-87.8099847152187
23141070030000,,,,,,60465,,278,278,,41.69958695468033,-87.83092940827243
23141100400000,,,,,,60465,,278,278,,41.6987202444003,-87.8300282522598
23144000931009,,,,,,60465,,299,299,,41.692115153290246,-87.82489679107857
23144000931013,,,,,,60465,,299,299,,41.692115153290246,-87.82489679107857
23144020270000,,,,,,60465,,278,278,,41.693294185990375,-87.81878279697904
23193020110000,,,,,,60464,,234,234,,41.674152863629025,-87.91098464799236
20353000380000,,,,,,60619,,211,211,,41.74273092817565,-87.60412905545301
13053060020000,,,,,,60646,,590,590,,41.98996441332879,-87.7803962518978
20354260150000,,,,,,60619,,203,203,,41.73871861791556,-87.59109809074508
20361200420000,,,,,,60617,,203,203,,41.74576264743073,-87.58207818955196
20362020290000,,,,,,60617,,203,203,,41.75035399740602,-87.57265211245125
20362030100000,,,,,,60617,,211,211,,41.75074692766595,-87.57195651149873
20362100180000,,,,,,60617,,203,203,,41.749690244003844,-87.57264110729568
20362120050000,,,,,,60617,,203,203,,41.749177599299536,-87.57071074976743
20363030270000,,,,,,60617,,203,203,,41.74269919402962,-87.58141192077953
20363110040000,,,,,,60617,,211,211,,41.74125301058885,-87.58226785031482
20364170050000,,,,,,,,EX,EX,,41.74048094724056,-87.5725512738534
27132040301023,,,,,,60462,,299,299,,41.614266248697234,-87.8010763102117
21301140271016,,,,,,60649,,299,299,,41.76272628510909,-87.55864405645927
21303040170000,,,,,,60649,,314,314,,41.75808452561412,-87.56046288152582
21304110190000,,,,,,60649,,314,314,,41.752405560787864,-87.55189167934718
21304140550000,,,,,,60649,,210,210,,41.75358698455592,-87.55030992145979
21312040410000,,,,,,60617,,211,211,,41.751301697578675,-87.54961253293912
21312240120000,,,,,,60617,,211,211,,41.7472880327577,-87.54760580164904
21312270270000,,,,,,60617,,202,202,,41.74605805167011,-87.55315431574327
21312280090000,,,,,,60617,,318,318,,41.74578862425317,-87.55240592130166
21312320070000,,,,,,60617,,202,202,,41.74597941939035,-87.54879851507577
25174120400000,,,,,,60643,,202,202,,41.69343286530958,-87.65023717868355
21313210310000,,,,,,60617,,EX,EX,,41.740063385928195,-87.55910610243228
21314010300000,,,,,,60617,,202,202,,41.743055967417895,-87.55471745721455
21314160310000,,,,,,60617,,202,202,,41.74009122825258,-87.55546791859169
21322090100000,,,,,,60617,,211,211,,41.74029648839269,-87.54503289836724
22143000400000,,,,,,60439,,580,580,,41.690113990622166,-87.9486700123992
22203050490000,,,,,,60439,,202,202,,41.67251869880404,-88.00756435187074
22203150160000,,,,,,60439,,593,593,,41.67296474076126,-87.99977076293855
22223030130000,,,,,,60439,,203,203,,41.676838831794775,-87.9708911990929
22232090010000,,,,,,60439,,100,100,,41.6840428309338,-87.9358435051764
22272060050000,,,,,,60439,,295,295,,41.66523814223306,-87.95422488761871
22282120340000,,,,,,60439,,204,204,,41.66453075846908,-87.97976632166262
22283080150000,,,,,,60439,,278,278,,41.66283367329827,-87.9816174376522
22284010470000,,,,,,60439,,295,295,,41.663767391864916,-87.97137371722394
24122190160000,,,,,,60805,,203,203,,41.71379190561954,-87.68555790749879
24123140310000,,,,,,60805,,203,203,,41.70744382518367,-87.6925920303959
24124270230000,,,,,,60655,,205,205,,41.70932753020012,-87.68334300083092
24132330120000,,,,,,60643,,517,517,,41.70077502986799,-87.6818573501236
24141030820000,,,,,,,,202,202,,41.70466983038862,-87.71142171329834
24142001300000,,,,,,60655,,203,203,,41.7057568071301,-87.71061531381241
24143180080000,,,,,,60655,,203,203,,41.697740645401716,-87.71534807428668
17082050171017,,,,,,60642,,299,299,,41.89519148972511,-87.65431835651853
17082050171091,,,,,,60642,,EX,EX,,41.89519148972511,-87.65431835651853
17041110470000,,,,,,60610,,295,295,,41.9093954775683,-87.63920649132326
17042000030000,,,,,,60610,,592,592,,41.91069564185509,-87.63826339181318
17042010621004,,,,,,60610,,299,299,,41.90896715895533,-87.63690368957852
17042010621006,,,,,,60610,,299,299,,41.90896715895533,-87.63690368957852
17042100291037,,,,,,60610,,299,299,,41.91094444061935,-87.62926149711956
17042100291041,,,,,,60610,,299,299,,41.91094444061935,-87.62926149711956
17042171361016,,,,,,60610,,299,299,,41.90713364844775,-87.63050224427109
17042171361036,,,,,,60610,,299,299,,41.90713364844775,-87.63050224427109
17042171361054,,,,,,60610,,299,299,,41.90713364844775,-87.63050224427109
17042171361080,,,,,,60610,,299,299,,41.90713364844775,-87.63050224427109
17042171361103,,,,,,60610,,299,299,,41.90713364844775,-87.63050224427109
17042171361124,,,,,,60610,,299,299,,41.90713364844775,-87.63050224427109
17042171361130,,,,,,60610,,299,299,,41.90713364844775,-87.63050224427109
17051160550000,,,,,,60642,,211,211,,41.90629998604053,-87.66545663167504
17051161151001,,,,,,60642,,299,299,,41.90537788861552,-87.66542946147074
